"","race","height","weight","speed","strength","dexterity","constitution","intelligence","wisdom","charisma"
"52","dragonborn",74,239,30,15,18,7,15,14,13
"53","dragonborn",80,231,30,8,14,14,12,10,12
"54","dragonborn",71,215,30,18,14,16,14,14,8
"55","dragonborn",78,271,30,11,15,8,8,11,15
"56","dragonborn",76,225,30,15,15,15,13,8,17
"57","dragonborn",73,245,30,16,16,18,12,9,15
"58","dragonborn",71,200,30,13,14,14,10,7,11
"59","dragonborn",69,202,30,10,18,9,16,15,12
"60","dragonborn",71,215,30,17,14,12,12,13,8
"61","dragonborn",76,215,30,16,15,12,9,15,9
"62","dragonborn",76,245,30,18,14,12,11,13,16
"63","dragonborn",76,265,30,19,13,8,16,7,13
"64","dragonborn",74,231,30,15,12,10,9,12,12
"65","dragonborn",75,238,30,14,14,15,10,11,11
"66","dragonborn",75,220,30,16,15,17,10,15,14
"67","dragonborn",74,223,30,19,17,13,14,10,10
"68","dragonborn",74,223,30,6,11,5,6,12,17
"69","dragonborn",75,247,30,16,15,18,17,13,15
"70","dragonborn",77,274,30,13,17,7,13,14,17
"71","dragonborn",80,273,30,12,11,13,17,12,19
"72","dragonborn",80,259,30,18,15,8,13,16,11
"73","dragonborn",74,215,30,12,14,15,12,10,17
"74","dragonborn",72,247,30,10,14,11,15,8,7
"75","dragonborn",76,245,30,14,13,15,16,13,18
"76","dragonborn",75,238,30,9,13,13,11,11,12
"77","dragonborn",80,273,30,15,9,11,16,15,12
"78","dragonborn",72,199,30,11,17,11,14,11,17
"79","dragonborn",79,279,30,14,14,8,17,15,9
"80","dragonborn",78,295,30,14,13,13,14,16,14
"81","dragonborn",74,223,30,16,11,11,12,10,17
"82","dragonborn",74,223,30,15,13,12,10,12,12
"83","dragonborn",70,203,30,13,15,10,9,12,15
"84","dragonborn",76,205,30,19,13,13,11,17,17
"85","dragonborn",79,227,30,12,12,9,8,16,14
"86","dragonborn",78,319,30,14,10,18,13,9,14
"87","dragonborn",74,207,30,18,11,13,17,14,11
"88","dragonborn",77,252,30,16,12,10,14,14,12
"89","dragonborn",75,211,30,13,15,9,8,14,15
"90","dragonborn",76,295,30,16,19,6,16,10,14
"91","dragonborn",73,245,30,14,14,14,11,12,5
"92","dragonborn",74,239,30,11,11,9,12,11,12
"93","dragonborn",80,203,30,16,16,9,10,11,10
"94","dragonborn",73,231,30,15,13,13,13,13,10
"95","dragonborn",78,259,30,12,15,14,16,6,13
"96","dragonborn",76,255,30,16,10,7,13,15,12
"97","dragonborn",77,252,30,12,15,11,10,6,15
"98","dragonborn",77,230,30,17,9,13,16,12,15
"99","dragonborn",76,235,30,14,15,12,6,12,15
"100","dragonborn",81,205,30,18,14,17,14,10,13
"101","dragonborn",71,210,30,15,13,12,9,14,16
"102","dragonborn",80,245,30,11,14,15,17,10,16
"103","dragonborn",68,193,30,15,20,8,12,15,16
"104","dragonborn",70,199,30,14,14,11,13,10,13
"105","dragonborn",74,215,30,9,14,13,12,10,11
"106","dragonborn",80,245,30,12,16,14,17,14,17
"107","dragonborn",73,217,30,10,13,18,10,12,13
"108","dragonborn",79,201,30,19,15,10,13,10,16
"109","dragonborn",75,229,30,15,18,16,15,16,12
"110","dragonborn",80,329,30,9,14,10,11,14,10
"111","dragonborn",71,195,30,15,12,13,15,8,13
"112","dragonborn",75,238,30,14,14,9,12,16,19
"113","dragonborn",73,238,30,15,13,11,13,12,11
"114","dragonborn",78,283,30,16,15,8,11,14,16
"115","dragonborn",78,235,30,14,15,12,11,16,16
"116","dragonborn",69,208,30,12,14,15,9,13,13
"117","dragonborn",78,235,30,16,10,12,11,15,11
"118","dragonborn",72,199,30,20,12,11,13,14,16
"119","dragonborn",74,191,30,18,12,10,11,6,17
"120","dragonborn",70,207,30,14,11,11,10,18,10
"121","dragonborn",78,223,30,15,12,11,4,11,11
"122","dragonborn",73,238,30,16,15,13,11,10,14
"123","dragonborn",76,235,30,15,17,10,10,12,14
"124","dragonborn",74,263,30,14,18,14,15,13,12
"125","dragonborn",74,191,30,14,13,10,12,15,18
"126","dragonborn",73,217,30,18,8,14,17,6,17
"127","dragonborn",78,259,30,15,12,14,16,11,13
"128","dragonborn",77,230,30,12,14,16,9,11,14
"129","dragonborn",77,219,30,16,19,10,10,9,16
"130","dragonborn",69,211,30,14,13,7,13,14,12
"131","dragonborn",76,275,30,13,16,8,15,13,12
"132","dragonborn",78,307,30,16,14,11,15,17,15
"133","dragonborn",76,255,30,16,15,13,4,15,12
"134","dragonborn",71,205,30,16,16,15,17,9,12
"135","dragonborn",75,211,30,6,12,12,12,15,16
"136","dragonborn",76,245,30,10,16,11,16,13,9
"137","dragonborn",71,205,30,14,13,9,10,15,11
"138","dragonborn",76,265,30,15,18,14,14,15,15
"139","dragonborn",76,285,30,14,13,11,9,12,19
"140","dragonborn",76,205,30,12,16,15,11,11,17
"141","dragonborn",74,263,30,9,12,13,11,12,18
"142","dragonborn",71,220,30,11,10,13,10,11,13
"143","dragonborn",74,239,30,13,13,14,7,8,16
"144","dragonborn",70,207,30,11,13,12,13,15,13
"145","dragonborn",80,259,30,17,12,14,17,9,15
"146","dragonborn",69,196,30,16,16,13,12,9,14
"147","dragonborn",73,238,30,18,13,14,11,12,14
"148","dragonborn",71,195,30,19,11,14,11,8,8
"149","dragonborn",79,279,30,13,13,7,12,14,16
"150","dragonborn",72,193,30,9,12,10,18,11,19
"151","dragonborn",74,223,30,12,16,15,11,12,6
"152","dragonborn",72,205,30,12,14,15,7,10,13
"153","dragonborn",72,247,30,13,16,12,16,17,14
"154","dragonborn",80,273,30,14,13,7,14,12,16
"155","dragonborn",75,247,30,15,15,11,10,9,14
"156","dragonborn",73,210,30,20,16,12,18,11,12
"157","dragonborn",74,239,30,15,11,5,13,15,13
"158","dragonborn",71,210,30,18,13,10,13,14,12
"159","dragonborn",76,225,30,19,10,15,15,11,12
"160","dragonborn",73,224,30,10,14,15,13,6,16
"161","dragonborn",71,205,30,15,15,15,11,18,16
"162","dragonborn",76,245,30,17,13,10,10,14,17
"163","dragonborn",72,235,30,15,11,13,16,12,16
"164","dragonborn",82,239,30,16,11,12,13,9,8
"165","dragonborn",69,190,30,13,12,9,10,11,17
"166","dragonborn",70,187,30,17,6,10,11,6,15
"167","dragonborn",71,210,30,14,12,9,16,14,16
"168","dragonborn",75,220,30,12,18,9,9,10,5
"169","dragonborn",76,255,30,8,10,11,11,16,13
"170","dragonborn",75,265,30,12,12,16,11,13,18
"171","dragonborn",72,223,30,16,15,16,16,11,14
"172","dragonborn",75,229,30,9,13,18,9,13,16
"173","dragonborn",77,285,30,19,15,14,14,8,17
"174","dragonborn",72,223,30,16,12,12,16,15,14
"175","dragonborn",73,238,30,13,16,14,12,12,12
"176","dragonborn",75,283,30,19,18,16,11,13,6
"177","dragonborn",75,238,30,16,10,7,13,15,11
"178","dragonborn",78,295,30,18,17,13,9,16,14
"179","dragonborn",76,255,30,12,11,13,10,14,12
"180","dragonborn",74,239,30,18,13,14,13,13,12
"181","dragonborn",75,202,30,9,12,14,11,11,6
"182","dragonborn",72,205,30,14,16,12,11,13,9
"183","dragonborn",74,255,30,14,14,13,14,5,10
"184","dragonborn",73,224,30,10,8,13,4,11,16
"185","dragonborn",77,252,30,15,7,15,11,13,14
"186","dragonborn",73,196,30,17,14,13,15,14,12
"187","dragonborn",75,247,30,14,15,12,8,4,16
"188","dragonborn",71,225,30,13,14,14,13,8,13
"189","dragonborn",79,227,30,20,14,11,9,16,11
"190","dragonborn",72,235,30,13,15,13,16,6,12
"191","dragonborn",82,207,30,8,14,10,14,15,15
"192","dragonborn",77,241,30,13,15,13,16,13,10
"193","dragonborn",75,247,30,10,11,13,12,17,9
"194","dragonborn",74,231,30,12,17,12,7,13,15
"195","dragonborn",77,252,30,16,15,15,12,17,15
"196","dragonborn",72,205,30,14,18,12,17,12,17
"197","dragonborn",76,245,30,14,14,15,15,10,13
"198","dragonborn",75,220,30,10,16,10,15,9,17
"199","dragonborn",78,271,30,14,11,14,15,16,18
"200","dragonborn",74,231,30,12,14,15,12,14,18
"201","dragonborn",73,210,30,19,13,17,11,13,17
"202","dragonborn",79,331,30,18,11,16,14,15,17
"203","dragonborn",76,265,30,20,9,14,14,8,13
"204","dragonborn",71,200,30,14,7,15,16,16,17
"205","dragonborn",71,230,30,19,14,15,12,17,19
"206","dragonborn",78,271,30,12,13,12,14,14,12
"207","dragonborn",76,255,30,19,13,13,16,12,11
"208","dragonborn",74,207,30,17,7,12,14,10,14
"209","dragonborn",69,184,30,12,16,9,11,11,11
"210","dragonborn",74,239,30,14,14,13,17,16,13
"211","dragonborn",72,241,30,18,13,11,10,14,15
"212","dragonborn",70,207,30,13,6,8,15,13,13
"213","dragonborn",76,245,30,15,13,18,6,11,15
"214","dragonborn",80,301,30,13,8,15,14,10,9
"215","dragonborn",78,223,30,17,14,11,12,17,9
"216","dragonborn",72,211,30,15,14,16,10,9,12
"217","dragonborn",80,217,30,18,17,11,15,8,15
"218","dragonborn",81,265,30,18,13,15,16,14,12
"219","dragonborn",79,292,30,14,10,12,7,7,15
"220","dragonborn",72,187,30,18,16,9,10,13,12
"221","dragonborn",80,259,30,15,12,12,8,17,12
"222","dragonborn",80,315,30,15,12,7,10,14,18
"223","dragonborn",75,256,30,11,11,13,8,7,12
"224","dragonborn",77,230,30,15,16,14,13,10,19
"225","dragonborn",74,271,30,12,15,14,13,14,11
"226","dragonborn",74,255,30,12,18,15,15,15,12
"227","dragonborn",79,305,30,19,16,8,13,11,16
"228","dragonborn",80,273,30,10,18,6,11,13,15
"229","dragonborn",75,229,30,16,12,16,14,13,9
"230","dragonborn",80,301,30,16,8,9,9,13,9
"231","dragonborn",71,225,30,15,9,16,12,10,14
"232","dragonborn",75,247,30,15,19,13,10,12,17
"233","dragonborn",71,220,30,16,17,16,12,14,16
"234","dragonborn",81,265,30,16,12,13,13,8,17
"235","dragonborn",78,259,30,13,15,15,14,12,16
"236","dragonborn",79,279,30,17,16,11,16,13,15
"237","dragonborn",70,203,30,18,14,13,14,13,12
"238","dragonborn",72,229,30,13,15,15,13,14,10
"239","dragonborn",70,215,30,11,16,15,12,16,15
"240","dragonborn",74,207,30,16,15,8,6,7,12
"241","dragonborn",75,238,30,13,14,8,16,11,17
"242","dragonborn",74,215,30,19,15,13,7,15,17
"243","dragonborn",74,231,30,15,12,12,12,12,9
"244","dragonborn",74,263,30,19,13,13,8,7,14
"245","dragonborn",69,199,30,16,17,14,11,18,10
"246","dragonborn",77,230,30,15,18,14,11,6,19
"247","dragonborn",72,217,30,15,15,14,9,10,11
"248","dragonborn",71,225,30,11,12,13,11,15,15
"249","dragonborn",71,225,30,13,20,8,16,12,14
"250","dragonborn",77,285,30,17,13,15,9,11,9
"251","dragonborn",77,296,30,12,18,9,14,8,16
"252","dragonborn",79,331,30,13,13,16,15,7,13
"253","dragonborn",78,259,30,10,15,15,14,10,15
"254","dragonborn",79,279,30,13,20,7,9,10,11
"255","dragonborn",76,285,30,15,15,13,11,14,14
"256","dragonborn",74,231,30,16,11,9,12,15,9
"257","dragonborn",71,215,30,15,16,9,15,15,16
"258","dragonborn",75,202,30,18,11,17,15,18,7
"259","dragonborn",71,210,30,19,15,13,10,12,8
"260","dragonborn",74,199,30,12,17,11,17,15,13
"261","dragonborn",74,215,30,14,12,17,10,18,19
"262","dragonborn",78,199,30,7,14,17,9,6,10
"263","dragonborn",72,211,30,18,18,10,7,14,18
"264","dragonborn",70,219,30,20,15,15,16,10,15
"265","dragonborn",77,285,30,12,13,10,9,11,11
"266","dragonborn",72,205,30,11,12,8,11,11,7
"267","dragonborn",81,325,30,14,18,14,12,14,14
"268","dragonborn",70,191,30,15,11,11,16,11,15
"269","dragonborn",77,252,30,13,17,10,10,16,10
"270","dragonborn",74,207,30,18,13,15,15,16,15
"271","dragonborn",71,200,30,16,15,13,8,11,15
"272","dragonborn",69,193,30,10,16,9,15,11,13
"273","dragonborn",76,235,30,17,14,16,10,11,15
"274","dragonborn",68,193,30,13,12,9,9,16,18
"275","dragonborn",71,210,30,18,14,15,10,14,17
"276","dragonborn",79,318,30,18,17,14,17,10,16
"277","dragonborn",75,238,30,17,18,10,10,8,15
"278","dragonborn",73,210,30,13,11,13,7,12,14
"279","dragonborn",75,238,30,15,16,16,15,15,16
"280","dragonborn",74,247,30,16,14,10,13,13,16
"281","dragonborn",71,225,30,14,11,14,14,9,14
"282","dragonborn",76,255,30,13,12,9,15,10,11
"283","dragonborn",76,245,30,15,17,15,13,12,11
"284","dragonborn",71,200,30,13,8,16,16,12,14
"285","dragonborn",71,205,30,12,15,8,11,13,13
"286","dragonborn",74,247,30,12,11,11,13,13,14
"287","dragonborn",76,275,30,15,13,11,11,10,15
"288","dragonborn",80,301,30,15,19,11,16,11,18
"289","dragonborn",74,223,30,17,12,13,14,11,15
"290","dragonborn",75,256,30,12,18,13,11,8,12
"291","dragonborn",72,223,30,16,13,14,12,13,19
"292","dragonborn",73,224,30,15,8,12,8,14,15
"293","dragonborn",76,265,30,16,17,12,10,12,11
"294","dragonborn",77,274,30,16,16,14,12,10,9
"295","dragonborn",78,283,30,12,12,11,12,12,14
"296","dragonborn",76,225,30,16,12,14,9,12,14
"297","dragonborn",80,231,30,9,13,16,12,15,17
"298","dragonborn",81,280,30,12,16,16,14,10,13
"299","dragonborn",73,245,30,13,11,13,10,15,15
"300","dragonborn",75,247,30,14,16,10,15,5,14
"301","dragonborn",72,217,30,17,16,13,16,9,14
"302","dragonborn",74,255,30,18,16,12,10,11,11
"303","dragonborn",80,217,30,13,18,15,9,11,14
"304","dragonborn",76,275,30,9,12,12,11,13,7
"305","dragonborn",71,225,30,13,17,14,17,12,14
"306","dragonborn",75,238,30,16,14,9,12,11,11
"307","dragonborn",69,199,30,17,16,10,17,13,11
"308","dragonborn",74,239,30,18,11,13,14,8,14
"309","dragonborn",79,253,30,18,12,7,13,9,15
"310","dragonborn",77,252,30,12,19,16,16,16,10
"311","dragonborn",76,295,30,17,11,12,12,13,13
"312","dragonborn",76,195,30,15,15,10,12,9,12
"313","dragonborn",80,287,30,7,17,9,12,13,12
"314","dragonborn",78,223,30,15,12,13,8,15,11
"315","dragonborn",72,223,30,15,15,8,9,12,14
"316","dragonborn",73,210,30,15,14,12,14,11,17
"317","dragonborn",72,223,30,16,13,5,14,11,17
"318","dragonborn",76,215,30,13,13,10,13,10,13
"319","dragonborn",79,292,30,12,18,13,6,10,19
"320","dragonborn",79,227,30,10,12,13,9,15,13
"321","dragonborn",73,224,30,7,12,16,10,12,11
"322","dragonborn",79,305,30,16,15,14,10,13,15
"323","dragonborn",73,252,30,11,15,12,11,14,13
"324","dragonborn",74,255,30,17,14,16,15,7,7
"325","dragonborn",72,211,30,17,15,16,11,15,12
"326","dragonborn",74,247,30,16,17,14,17,16,13
"327","dragonborn",74,223,30,11,11,14,15,9,14
"328","dragonborn",78,295,30,11,10,16,12,9,17
"329","dragonborn",73,252,30,12,12,14,15,17,9
"330","dragonborn",73,210,30,17,17,15,10,17,11
"331","dragonborn",74,255,30,18,17,11,13,15,15
"332","dragonborn",77,252,30,15,17,13,14,15,15
"333","dragonborn",74,247,30,13,14,12,10,13,13
"334","dragonborn",72,211,30,14,16,10,12,10,16
"335","dragonborn",73,252,30,17,13,17,13,10,14
"336","dragonborn",72,235,30,18,15,8,13,8,12
"337","dragonborn",71,220,30,12,9,11,9,16,15
"338","dragonborn",80,343,30,15,11,9,13,10,17
"339","dragonborn",75,265,30,17,14,15,14,15,16
"340","dragonborn",75,220,30,13,18,12,16,16,9
"341","dragonborn",74,215,30,9,20,11,18,13,15
"342","dragonborn",79,253,30,15,12,13,13,11,16
"343","dragonborn",71,210,30,15,10,16,10,12,15
"344","dragonborn",75,202,30,14,10,15,11,10,12
"345","dragonborn",78,259,30,16,16,16,16,11,10
"346","dragonborn",75,238,30,14,14,13,14,10,14
"347","dragonborn",73,245,30,10,14,10,14,14,12
"348","dragonborn",73,189,30,16,13,15,11,8,15
"349","dragonborn",78,319,30,16,14,8,15,10,16
"350","dragonborn",72,223,30,9,18,9,13,12,14
"351","dragonborn",78,235,30,17,14,8,9,11,11
"352","dragonborn",77,263,30,17,12,9,18,17,15
"353","dragonborn",73,189,30,19,14,17,10,8,15
"354","dragonborn",74,247,30,18,19,14,12,10,11
"355","dragonborn",79,318,30,11,11,11,13,11,15
"356","dragonborn",73,210,30,15,11,14,15,11,17
"357","dragonborn",72,211,30,14,11,15,15,15,13
"358","dragonborn",75,220,30,12,17,6,15,11,12
"359","dragonborn",71,215,30,14,13,16,11,11,13
"360","dragonborn",76,245,30,18,14,15,11,11,17
"361","dragonborn",78,271,30,14,14,11,16,10,14
"362","dragonborn",78,271,30,18,13,8,8,10,17
"363","dragonborn",74,231,30,14,14,12,15,9,14
"364","dragonborn",76,235,30,11,11,15,14,11,16
"365","dragonborn",78,199,30,13,15,15,10,10,15
"366","dragonborn",77,252,30,14,13,12,16,11,9
"367","dragonborn",75,229,30,14,12,16,11,9,16
"368","dragonborn",69,190,30,16,16,17,16,13,13
"369","dragonborn",74,239,30,14,14,13,15,12,9
"370","dragonborn",73,245,30,17,13,7,10,18,10
"371","dragonborn",82,319,30,15,16,7,16,12,9
"372","dragonborn",75,265,30,17,15,11,15,13,14
"373","dragonborn",74,207,30,16,14,14,9,14,17
"374","dragonborn",75,283,30,13,15,10,11,15,15
"375","dragonborn",70,191,30,10,18,13,14,13,14
"376","dragonborn",72,205,30,15,17,9,14,13,13
"377","dragonborn",74,231,30,10,15,12,8,14,11
"378","dragonborn",79,305,30,19,9,14,14,15,12
"379","dragonborn",80,315,30,19,17,14,8,15,10
"380","dragonborn",78,223,30,18,9,13,17,13,16
"381","dragonborn",71,230,30,13,13,16,18,16,13
"382","dragonborn",78,247,30,18,17,15,13,15,11
"383","dragonborn",68,189,30,14,16,11,14,8,13
"384","dragonborn",77,307,30,12,6,10,9,7,17
"385","dragonborn",76,215,30,16,11,13,17,10,12
"386","dragonborn",81,295,30,12,17,14,8,15,7
"387","dragonborn",76,265,30,12,15,15,11,16,14
"388","dragonborn",77,263,30,16,16,8,10,10,16
"389","dragonborn",77,285,30,18,11,11,17,15,10
"390","dragonborn",76,275,30,14,14,12,13,16,16
"391","dragonborn",77,230,30,14,16,11,17,13,14
"392","dragonborn",76,255,30,12,17,14,14,14,11
"393","dragonborn",72,217,30,14,12,10,16,5,14
"394","dragonborn",76,285,30,12,15,13,13,14,12
"395","dragonborn",75,211,30,14,15,10,14,13,14
"396","dragonborn",74,223,30,13,16,14,15,15,13
"397","dragonborn",70,207,30,14,19,10,14,13,14
"398","dragonborn",73,217,30,14,12,13,7,10,9
"399","dragonborn",76,255,30,13,16,9,18,6,18
"400","dragonborn",77,252,30,14,11,7,12,10,12
"401","dragonborn",73,210,30,16,15,13,11,12,9
"402","dragonborn",75,256,30,13,10,13,13,13,10
"403","dragonborn",76,245,30,13,18,16,12,13,16
"404","dragonborn",79,266,30,16,12,17,11,12,17
"405","dragonborn",73,203,30,10,15,11,14,14,10
"406","dragonborn",74,247,30,12,10,15,12,9,15
"407","dragonborn",80,231,30,12,14,13,15,11,11
"408","dragonborn",82,271,30,17,10,14,15,8,16
"409","dragonborn",74,231,30,17,13,8,11,16,8
"410","dragonborn",75,265,30,16,12,13,14,5,10
"411","dragonborn",74,231,30,6,9,14,17,15,17
"412","dragonborn",70,219,30,20,8,13,11,14,15
"413","dragonborn",70,187,30,12,15,10,12,13,11
"414","dragonborn",76,245,30,17,19,12,9,13,16
"415","dragonborn",82,239,30,18,9,13,13,16,17
"416","dragonborn",79,240,30,16,16,9,17,11,14
"417","dragonborn",82,271,30,10,12,12,5,13,14
"418","dragonborn",71,210,30,10,15,13,11,13,8
"419","dragonborn",73,245,30,16,14,11,16,14,12
"420","dragonborn",76,265,30,9,16,15,15,12,14
"421","dragonborn",75,256,30,19,13,5,10,12,17
"422","dragonborn",73,245,30,14,14,10,13,12,12
"423","dragonborn",71,205,30,14,14,10,16,12,12
"424","dragonborn",82,223,30,17,14,14,12,16,12
"425","dragonborn",76,265,30,15,13,12,8,10,17
"426","dragonborn",70,215,30,17,18,10,7,12,8
"427","dragonborn",73,245,30,13,17,12,13,17,9
"428","dragonborn",71,220,30,17,11,16,15,12,10
"429","dragonborn",76,255,30,19,17,9,11,16,19
"430","dragonborn",78,199,30,15,13,13,11,9,14
"431","dragonborn",75,229,30,14,16,8,14,16,11
"432","dragonborn",75,220,30,19,14,16,12,13,10
"433","dragonborn",76,255,30,11,12,10,17,13,9
"434","dragonborn",77,252,30,12,16,16,18,9,10
"435","dragonborn",76,265,30,16,16,8,11,6,18
"436","dragonborn",79,279,30,14,12,13,13,11,13
"437","dragonborn",78,223,30,12,10,17,13,13,13
"438","dragonborn",77,252,30,15,18,16,13,12,15
"439","dragonborn",76,265,30,18,13,14,15,14,15
"440","dragonborn",75,247,30,14,20,12,11,5,8
"441","dragonborn",71,210,30,17,18,12,16,11,17
"442","dragonborn",76,275,30,14,10,13,14,12,18
"443","dragonborn",75,283,30,12,11,11,15,13,14
"444","dragonborn",71,210,30,12,11,11,8,17,16
"445","dragonborn",76,215,30,12,13,13,11,14,17
"446","dragonborn",78,247,30,18,13,13,12,13,13
"447","dragonborn",74,247,30,16,16,9,17,12,17
"448","dragonborn",73,245,30,14,19,14,14,15,17
"449","dragonborn",73,224,30,9,17,11,9,16,18
"450","dragonborn",73,196,30,10,16,6,14,5,17
"451","dragonborn",72,217,30,14,15,16,15,12,10
"452","dragonborn",77,241,30,8,17,15,14,15,14
"453","dragonborn",78,211,30,15,18,9,12,17,9
"454","dragonborn",79,253,30,14,10,8,12,8,10
"455","dragonborn",71,185,30,9,14,12,12,11,13
"456","dragonborn",80,259,30,9,11,11,14,14,12
"457","dragonborn",77,263,30,15,12,12,16,15,14
"458","dragonborn",68,183,30,13,17,9,12,9,12
"459","dragonborn",71,210,30,10,13,14,12,11,14
"460","dragonborn",78,271,30,9,14,11,13,11,12
"461","dragonborn",71,210,30,11,14,10,9,8,10
"462","dragonborn",78,283,30,17,19,10,16,10,12
"463","dragonborn",77,263,30,14,17,14,10,12,11
"464","dragonborn",71,215,30,15,14,7,11,13,18
"465","dragonborn",71,205,30,14,13,10,13,10,16
"466","dragonborn",69,208,30,17,11,17,15,12,14
"467","dragonborn",77,197,30,9,9,11,9,11,14
"468","dragonborn",73,252,30,17,16,12,13,15,10
"469","dragonborn",79,253,30,12,15,11,10,14,14
"470","dragonborn",73,210,30,6,15,7,14,11,6
"471","dragonborn",80,287,30,9,9,15,14,7,15
"472","dragonborn",80,259,30,13,18,12,6,11,9
"473","dragonborn",78,223,30,15,16,8,7,16,14
"474","dragonborn",78,235,30,13,16,9,6,16,12
"475","dragonborn",79,240,30,18,19,12,16,10,10
"476","dragonborn",73,210,30,11,16,11,14,13,9
"477","dragonborn",71,220,30,12,19,13,10,13,18
"478","dragonborn",72,223,30,14,17,14,15,11,11
"479","dragonborn",78,235,30,16,15,12,17,14,12
"480","dragonborn",74,223,30,12,15,13,12,13,17
"481","dragonborn",77,285,30,18,13,12,12,11,16
"482","dragonborn",73,210,30,12,7,14,12,17,15
"483","dragonborn",75,256,30,12,19,15,12,12,13
"484","dragonborn",79,240,30,9,11,15,16,8,12
"485","dragonborn",78,211,30,19,16,10,10,14,14
"486","dragonborn",76,235,30,8,17,17,12,12,11
"487","dragonborn",74,271,30,15,10,13,13,14,13
"488","dragonborn",74,263,30,12,12,15,10,10,16
"489","dragonborn",74,215,30,15,16,12,14,12,14
"490","dragonborn",71,210,30,14,12,12,15,17,13
"491","dragonborn",75,256,30,16,13,11,14,12,9
"492","dragonborn",78,223,30,14,17,13,11,15,15
"493","dragonborn",69,202,30,15,14,11,16,13,11
"494","dragonborn",73,259,30,13,15,14,9,15,14
"495","dragonborn",75,229,30,20,16,16,7,13,14
"496","dragonborn",75,220,30,9,13,16,10,14,16
"497","dragonborn",70,211,30,16,14,16,12,12,10
"498","dragonborn",68,195,30,10,13,14,7,11,12
"499","dragonborn",75,220,30,11,15,9,12,11,13
"500","dragonborn",69,193,30,13,16,13,16,18,11
"501","dragonborn",76,205,30,15,15,9,17,13,14
"502","dragonborn",76,285,30,12,19,6,12,11,13
"503","dragonborn",75,220,30,15,18,8,12,11,16
"504","dragonborn",70,199,30,14,20,13,13,15,13
"505","dragonborn",82,335,30,15,17,15,13,18,11
"506","dragonborn",72,211,30,17,18,14,15,12,11
"507","dragonborn",75,238,30,15,16,15,11,9,16
"508","dragonborn",75,265,30,15,14,13,12,15,17
"509","dragonborn",77,296,30,11,14,11,9,10,15
"510","dragonborn",80,287,30,17,12,9,8,10,13
"511","dragonborn",70,211,30,17,14,10,12,12,10
"512","dragonborn",73,224,30,13,16,9,9,15,14
"513","dragonborn",76,295,30,12,13,16,15,13,14
"514","dragonborn",75,229,30,14,18,8,11,17,19
"515","dragonborn",70,223,30,18,9,13,11,16,15
